rule,file,line,column,severity,message,symbol,status,batch,owner,notes
reportUnknownMemberType,/home/dev02/aifabrix-miso-client-python/miso_client/services/role.py,59,36,error,"Type of ""get"" is partially unknown   Type of ""get"" is ""Overload[(key: Unknown, default: None = None, /) -> (Unknown | None), (key: Unknown, default: Unknown, /) -> Unknown, (key: Unknown, default: _T@get, /) -> (Unknown | _T@get)]""",,open,,,
reportMissingTypeArgument,/home/dev02/aifabrix-miso-client-python/miso_client/utils/audit_log_queue.py,52,36,error,"Expected type arguments for generic class ""Task""",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportUnknownMemberType,/home/dev02/aifabrix-miso-client-python/miso_client/utils/audit_log_queue.py,104,12,error,"Type of ""flush_timer"" is partially unknown   Type of ""flush_timer"" is ""Task[Unknown] | None""",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportUnknownMemberType,/home/dev02/aifabrix-miso-client-python/miso_client/utils/audit_log_queue.py,154,16,error,"Type of ""flush_timer"" is partially unknown   Type of ""flush_timer"" is ""Task[Unknown] | None""",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportUnknownMemberType,/home/dev02/aifabrix-miso-client-python/miso_client/utils/audit_log_queue.py,156,9,error,"Type of ""flush_timer"" is partially unknown   Type of ""flush_timer"" is ""Task[Unknown]""",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportUnknownMemberType,/home/dev02/aifabrix-miso-client-python/miso_client/utils/audit_log_queue.py,158,19,error,"Type of ""flush_timer"" is partially unknown   Type of ""flush_timer"" is ""Task[Unknown]""",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportUnknownMemberType,/home/dev02/aifabrix-miso-client-python/miso_client/utils/audit_log_queue.py,204,12,error,"Type of ""flush_timer"" is partially unknown   Type of ""flush_timer"" is ""Task[Unknown] | None""",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportUnknownMemberType,/home/dev02/aifabrix-miso-client-python/miso_client/utils/audit_log_queue.py,205,13,error,"Type of ""flush_timer"" is partially unknown   Type of ""flush_timer"" is ""Task[Unknown]""",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportUnknownParameterType,/home/dev02/aifabrix-miso-client-python/miso_client/utils/client_token_manager.py,100,9,error,"Return type, ""dict[Unknown, Unknown]"", is partially unknown",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportMissingTypeArgument,/home/dev02/aifabrix-miso-client-python/miso_client/utils/client_token_manager.py,100,66,error,"Expected type arguments for generic class ""dict""",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
